sample_id,species,abundance,group,effort
Q1,Species-A,18,Control,1
Q1,Species-B,12,Control,1
Q1,Species-C,7,Control,1
Q1,Species-D,3,Control,1
Q1,Species-E,0,Control,1
Q1,Species-F,0,Control,1
Q1,Species-G,0,Control,1
Q1,Species-H,0,Control,1
Q2,Species-A,15,Control,2
Q2,Species-B,11,Control,2
Q2,Species-C,9,Control,2
Q2,Species-D,5,Control,2
Q2,Species-E,2,Control,2
Q2,Species-F,0,Control,2
Q2,Species-G,0,Control,2
Q2,Species-H,0,Control,2
Q3,Species-A,13,Compost,1
Q3,Species-B,14,Compost,1
Q3,Species-C,10,Compost,1
Q3,Species-D,8,Compost,1
Q3,Species-E,4,Compost,1
Q3,Species-F,2,Compost,1
Q3,Species-G,0,Compost,1
Q3,Species-H,0,Compost,1
Q4,Species-A,11,Compost,2
Q4,Species-B,15,Compost,2
Q4,Species-C,12,Compost,2
Q4,Species-D,10,Compost,2
Q4,Species-E,5,Compost,2
Q4,Species-F,3,Compost,2
Q4,Species-G,2,Compost,2
Q4,Species-H,0,Compost,2
Q5,Species-A,10,Biochar,1
Q5,Species-B,13,Biochar,1
Q5,Species-C,14,Biochar,1
Q5,Species-D,12,Biochar,1
Q5,Species-E,6,Biochar,1
Q5,Species-F,4,Biochar,1
Q5,Species-G,3,Biochar,1
Q5,Species-H,1,Biochar,1
Q6,Species-A,12,Biochar,2
Q6,Species-B,11,Biochar,2
Q6,Species-C,13,Biochar,2
Q6,Species-D,10,Biochar,2
Q6,Species-E,5,Biochar,2
Q6,Species-F,3,Biochar,2
Q6,Species-G,2,Biochar,2
Q6,Species-H,1,Biochar,2
Q7,Species-A,13,Control,3
Q7,Species-B,10,Control,3
Q7,Species-C,8,Control,3
Q7,Species-D,4,Control,3
Q7,Species-E,3,Control,3
Q7,Species-F,1,Control,3
Q7,Species-G,0,Control,3
Q7,Species-H,0,Control,3
Q8,Species-A,12,Compost,3
Q8,Species-B,16,Compost,3
Q8,Species-C,13,Compost,3
Q8,Species-D,9,Compost,3
Q8,Species-E,6,Compost,3
Q8,Species-F,4,Compost,3
Q8,Species-G,3,Compost,3
Q8,Species-H,1,Compost,3
Q9,Species-A,9,Biochar,3
Q9,Species-B,12,Biochar,3
Q9,Species-C,15,Biochar,3
Q9,Species-D,13,Biochar,3
Q9,Species-E,7,Biochar,3
Q9,Species-F,5,Biochar,3
Q9,Species-G,4,Biochar,3
Q9,Species-H,2,Biochar,3
