sample_id,analyte,value,ion_type,group,unit
W1,Ca,42,cation,Upstream,meq_percent
W1,Mg,28,cation,Upstream,meq_percent
W1,NaK,30,cation,Upstream,meq_percent
W1,HCO3CO3,48,anion,Upstream,meq_percent
W1,SO4,22,anion,Upstream,meq_percent
W1,Cl,30,anion,Upstream,meq_percent
W2,Ca,28,cation,Downstream,meq_percent
W2,Mg,22,cation,Downstream,meq_percent
W2,NaK,50,cation,Downstream,meq_percent
W2,HCO3CO3,30,anion,Downstream,meq_percent
W2,SO4,25,anion,Downstream,meq_percent
W2,Cl,45,anion,Downstream,meq_percent
W3,Ca,36,cation,Groundwater,meq_percent
W3,Mg,34,cation,Groundwater,meq_percent
W3,NaK,30,cation,Groundwater,meq_percent
W3,HCO3CO3,55,anion,Groundwater,meq_percent
W3,SO4,15,anion,Groundwater,meq_percent
W3,Cl,30,anion,Groundwater,meq_percent
