time,discharge,precipitation,group,cumulative_reference,discharge_unit,precipitation_unit
0,1.2,0,Catchment-A,1.0,m3 s^-1,mm
1,1.4,8,Catchment-A,2.1,m3 s^-1,mm
2,2.6,18,Catchment-A,3.4,m3 s^-1,mm
3,4.8,24,Catchment-A,5.0,m3 s^-1,mm
4,6.2,10,Catchment-A,6.9,m3 s^-1,mm
5,5.1,2,Catchment-A,8.7,m3 s^-1,mm
6,3.4,0,Catchment-A,10.5,m3 s^-1,mm
7,2.2,0,Catchment-A,12.4,m3 s^-1,mm
8,1.6,5,Catchment-A,14.2,m3 s^-1,mm
9,2.8,12,Catchment-A,16.1,m3 s^-1,mm
10,3.9,6,Catchment-A,18.0,m3 s^-1,mm
11,2.5,0,Catchment-A,20.0,m3 s^-1,mm
