x,y,intensity,channel,slice,unit
0,0,0.10,R,1,relative intensity
1,0,0.22,R,1,relative intensity
2,0,0.38,R,1,relative intensity
3,0,0.30,R,1,relative intensity
0,1,0.18,R,1,relative intensity
1,1,0.46,R,1,relative intensity
2,1,0.82,R,1,relative intensity
3,1,0.44,R,1,relative intensity
0,2,0.15,R,2,relative intensity
1,2,0.40,R,2,relative intensity
2,2,0.72,R,2,relative intensity
3,2,0.36,R,2,relative intensity
0,3,0.08,R,2,relative intensity
1,3,0.20,R,2,relative intensity
2,3,0.34,R,2,relative intensity
3,3,0.16,R,2,relative intensity
0,0,0.06,G,1,relative intensity
1,0,0.12,G,1,relative intensity
2,0,0.18,G,1,relative intensity
3,0,0.10,G,1,relative intensity
0,1,0.14,G,1,relative intensity
1,1,0.58,G,1,relative intensity
2,1,0.34,G,1,relative intensity
3,1,0.16,G,1,relative intensity
0,2,0.24,G,2,relative intensity
1,2,0.70,G,2,relative intensity
2,2,0.28,G,2,relative intensity
3,2,0.12,G,2,relative intensity
0,3,0.10,G,2,relative intensity
1,3,0.32,G,2,relative intensity
2,3,0.18,G,2,relative intensity
3,3,0.08,G,2,relative intensity
0,0,0.04,B,1,relative intensity
1,0,0.08,B,1,relative intensity
2,0,0.12,B,1,relative intensity
3,0,0.08,B,1,relative intensity
0,1,0.10,B,1,relative intensity
1,1,0.26,B,1,relative intensity
2,1,0.54,B,1,relative intensity
3,1,0.22,B,1,relative intensity
0,2,0.18,B,2,relative intensity
1,2,0.30,B,2,relative intensity
2,2,0.66,B,2,relative intensity
3,2,0.24,B,2,relative intensity
0,3,0.06,B,2,relative intensity
1,3,0.16,B,2,relative intensity
2,3,0.28,B,2,relative intensity
3,3,0.12,B,2,relative intensity
