draw_id,parameter,chain,value,iteration,warmup,weight
D001,alpha,1,0.14,1,FALSE,1
D002,alpha,2,0.18,1,FALSE,1
D003,alpha,1,0.09,2,FALSE,1
D004,alpha,2,0.12,2,FALSE,1
D005,alpha,1,0.21,3,FALSE,1
D006,alpha,2,0.24,3,FALSE,1
D007,alpha,1,0.16,4,FALSE,1
D008,alpha,2,0.11,4,FALSE,1
D009,alpha,1,0.28,5,FALSE,1
D010,alpha,2,0.19,5,FALSE,1
D011,alpha,1,0.05,6,FALSE,1
D012,alpha,2,0.08,6,FALSE,1
D013,alpha,1,0.23,7,FALSE,1
D014,alpha,2,0.27,7,FALSE,1
D015,alpha,1,0.13,8,FALSE,1
D016,alpha,2,0.15,8,FALSE,1
D017,alpha,1,0.31,9,FALSE,1
D018,alpha,2,0.29,9,FALSE,1
D019,alpha,1,0.17,10,FALSE,1
D020,alpha,2,0.20,10,FALSE,1
D021,alpha,1,0.10,11,FALSE,1
D022,alpha,2,0.06,11,FALSE,1
D023,alpha,1,0.26,12,FALSE,1
D024,alpha,2,0.22,12,FALSE,1
D025,alpha,1,0.07,13,FALSE,1
D026,alpha,2,0.16,13,FALSE,1
D027,alpha,1,0.19,14,FALSE,1
D028,alpha,2,0.25,14,FALSE,1
D029,alpha,1,0.12,15,FALSE,1
D030,alpha,2,0.14,15,FALSE,1
D031,alpha,1,0.24,16,FALSE,1
D032,alpha,2,0.30,16,FALSE,1
D033,alpha,1,0.08,17,FALSE,1
D034,alpha,2,0.10,17,FALSE,1
D035,alpha,1,0.20,18,FALSE,1
D036,alpha,2,0.17,18,FALSE,1
D037,alpha,1,0.15,19,FALSE,1
D038,alpha,2,0.23,19,FALSE,1
D039,alpha,1,0.29,20,FALSE,1
D040,alpha,2,0.13,20,FALSE,1
