x,y,value,uncertainty,class,unit,crs,time,slice,component,u,v
0,0,8.2,0.8,low,g kg^-1,EPSG:32650,T1,0-10,SOC,0.3,0.1
1,0,8.8,0.7,low,g kg^-1,EPSG:32650,T1,0-10,SOC,0.4,0.2
2,0,9.4,0.6,medium,g kg^-1,EPSG:32650,T1,0-10,SOC,0.5,0.1
3,0,10.1,0.7,medium,g kg^-1,EPSG:32650,T1,0-10,SOC,0.4,-0.1
0,1,8.5,0.9,low,g kg^-1,EPSG:32650,T1,0-10,SOC,0.2,0.3
1,1,9.2,0.6,medium,g kg^-1,EPSG:32650,T1,0-10,SOC,0.3,0.2
2,1,10.0,0.5,medium,g kg^-1,EPSG:32650,T1,0-10,SOC,0.4,0.0
3,1,10.8,0.6,high,g kg^-1,EPSG:32650,T1,0-10,SOC,0.3,-0.2
0,2,8.9,0.8,low,g kg^-1,EPSG:32650,T2,10-30,SOC,0.1,0.4
1,2,9.7,0.6,medium,g kg^-1,EPSG:32650,T2,10-30,SOC,0.2,0.3
2,2,10.5,0.5,high,g kg^-1,EPSG:32650,T2,10-30,SOC,0.3,0.1
3,2,11.2,0.7,high,g kg^-1,EPSG:32650,T2,10-30,SOC,0.2,-0.2
0,3,9.1,1.0,medium,g kg^-1,EPSG:32650,T2,10-30,SOC,0.0,0.4
1,3,9.9,0.8,medium,g kg^-1,EPSG:32650,T2,10-30,SOC,0.1,0.3
2,3,10.9,0.7,high,g kg^-1,EPSG:32650,T2,10-30,SOC,0.2,0.1
3,3,11.6,0.9,high,g kg^-1,EPSG:32650,T2,10-30,SOC,0.1,-0.1
