sample_id,time,value,group,subject_id,unit,lower,upper
T01,0,2.1,Control,P1,mg kg^-1 d^-1,1.8,2.4
T02,1,2.4,Control,P1,mg kg^-1 d^-1,2.1,2.7
T03,3,2.8,Control,P1,mg kg^-1 d^-1,2.4,3.2
T04,7,2.5,Control,P1,mg kg^-1 d^-1,2.2,2.8
T05,14,2.2,Control,P1,mg kg^-1 d^-1,1.9,2.5
T06,28,1.9,Control,P1,mg kg^-1 d^-1,1.6,2.2
T07,0,2.2,Compost,P2,mg kg^-1 d^-1,1.9,2.5
T08,1,3.0,Compost,P2,mg kg^-1 d^-1,2.6,3.4
T09,3,3.8,Compost,P2,mg kg^-1 d^-1,3.3,4.3
T10,7,3.4,Compost,P2,mg kg^-1 d^-1,3.0,3.8
T11,14,2.9,Compost,P2,mg kg^-1 d^-1,2.5,3.3
T12,28,2.3,Compost,P2,mg kg^-1 d^-1,2.0,2.6
T13,0,1.9,Control,P3,mg kg^-1 d^-1,1.6,2.2
T14,1,2.2,Control,P3,mg kg^-1 d^-1,1.9,2.5
T15,3,2.6,Control,P3,mg kg^-1 d^-1,2.2,3.0
T16,7,2.3,Control,P3,mg kg^-1 d^-1,2.0,2.6
T17,14,2.0,Control,P3,mg kg^-1 d^-1,1.7,2.3
T18,28,1.8,Control,P3,mg kg^-1 d^-1,1.5,2.1
T19,0,2.4,Compost,P4,mg kg^-1 d^-1,2.1,2.7
T20,1,3.2,Compost,P4,mg kg^-1 d^-1,2.8,3.6
T21,3,4.0,Compost,P4,mg kg^-1 d^-1,3.5,4.5
T22,7,3.6,Compost,P4,mg kg^-1 d^-1,3.2,4.0
T23,14,3.0,Compost,P4,mg kg^-1 d^-1,2.6,3.4
T24,28,2.5,Compost,P4,mg kg^-1 d^-1,2.2,2.8
