id	name_en	name_zh	aliases	primary_family	tasks	designs	domains	r_packages	r_functions	maturity	cautions	source_keys
strip-plot	strip plot	条带点图	dot strip; jitter plot	distribution	distribution; comparison	independent; paired; nested	general; soil	ggplot2	geom_point; geom_jitter	canonical	jitter must not imply x values; show n	R-GGPLOT;P-REVEAL-2019
beeswarm-plot	beeswarm plot	蜂群点图	swarm plot	distribution	distribution; comparison	independent; nested	general; soil	ggbeeswarm	geom_beeswarm	canonical	wide groups or large n can collide	P-REVEAL-2019
quasirandom-plot	quasirandom dot plot	准随机点图	quasirandom swarm	distribution	distribution; comparison	independent; nested	general; soil	ggbeeswarm	geom_quasirandom	canonical	horizontal position encodes density not value	P-REVEAL-2019
sina-plot	Sina plot	西纳图	density jitter plot	distribution	distribution; comparison	independent	general	ggforce	geom_sina	niche	needs enough observations for density	R-GGPLOT
dotplot-stacked	stacked dot plot	堆叠点图	Wilkinson dotplot	distribution	distribution	independent	general	ggplot2	geom_dotplot	canonical	binwidth changes stacks; dots are observations only if configured	R-GGPLOT
histogram	histogram	直方图	frequency histogram	distribution	distribution	independent	general; soil	ggplot2	geom_histogram	canonical	bin origin and width materially change shape	R-GGPLOT
frequency-polygon	frequency polygon	频数多边形图	frequency line	distribution	distribution; compare distributions	independent	general	ggplot2	geom_freqpoly	canonical	use common bins across groups	R-GGPLOT
density-plot	kernel density plot	核密度图	KDE	distribution	distribution	independent	general	ggplot2	geom_density	canonical	bandwidth and boundary bias; avoid tiny n	R-GGPLOT
ecdf-plot	empirical cumulative distribution	经验累积分布图	ECDF	distribution	distribution; stochastic dominance	independent	general	ggplot2	stat_ecdf	canonical	step direction and ties matter	R-GGPLOT
ccdf-plot	complementary CDF	互补累积分布图	survival distribution plot	distribution	tails; exceedance	independent	general; environmental	ggplot2	stat_ecdf plus transform	canonical	log axes and censored values need definition	R-GGPLOT
boxplot	box plot	箱线图	box-and-whisker	distribution	distribution; comparison	independent	general; soil	ggplot2	geom_boxplot	canonical	whisker rule is not min/max; weak for small n	P-REVEAL-2019
notched-boxplot	notched box plot	凹口箱线图	notched box	distribution	median comparison	independent	general	ggplot2	geom_boxplot notch	canonical	notch approximation can fail for small n	R-GGPLOT
variable-width-boxplot	variable-width box plot	变宽箱线图	varwidth box	distribution	distribution; sample size	independent	general	ggplot2	geom_boxplot varwidth	canonical	width may be misread as magnitude	R-GGPLOT
letter-value-plot	letter-value plot	字母值图	boxen plot	distribution	tail distribution	independent	general	lvplot; ggplot2 custom	geom_lv	niche	needs large n; define depth rule	R-CTVS
violin-plot	violin plot	小提琴图	violin density	distribution	distribution; comparison	independent	general; soil	ggplot2	geom_violin	canonical	bandwidth; trim; avoid tiny n	P-REVEAL-2019;R-GGPLOT-NEWS
half-violin	half violin plot	半小提琴图	split violin	distribution	distribution; paired comparison	independent; paired	general	gghalves; ggdist	geom_half_violin; stat_halfeye	composite	mirror area can imply sample size; define side mapping	P-RAINCLOUD
beanplot	bean plot	豆荚图	density plus rug	distribution	distribution; comparison	independent	general	beanplot	beanplot	canonical	bandwidth and rug interpretation	R-CTVS
raincloud-plot	raincloud plot	雨云图	cloud-and-rain	distribution	distribution; comparison	independent; nested	general; soil	ggdist; ggplot2	stat_halfeye plus points	composite	does not automatically represent hierarchical n	P-RAINCLOUD
ridgeline-plot	ridgeline density plot	山脊密度图	joyplot	distribution	many distributions; temporal distribution	independent; ordered groups	general; environmental	ggridges	geom_density_ridges	canonical	overlap and per-group scaling can mislead	R-GGPLOT
rainfall-plot-genomics	rainfall plot	基因组雨落图	genomic rainfall plot	distribution	mutation spacing; genome events	genomic	omics	karyoploteR; custom ggplot	custom	domain-standard	not the same as raincloud; log distance definition	P-GENOMIC-TAXONOMY
rug-plot	rug plot	边际地毯图	rug	distribution	distribution context	independent	general	ggplot2	geom_rug	canonical	overplotting hides multiplicity	R-GGPLOT
qq-plot	quantile-quantile plot	Q-Q 图	QQ plot	distribution	distribution diagnostic; calibration	independent	general; soil	ggplot2; stats	stat_qq; qqnorm	canonical	reference distribution and envelope required	R-GGPLOT
pp-plot	probability-probability plot	P-P 图	probability plot	distribution	distribution diagnostic	independent	general	custom ggplot	custom	canonical	reference CDF must be defined	R-CTVS
quantile-dotplot	quantile dotplot	分位点阵图	probability dotplot	distribution	uncertainty; predictive distribution	model-based	general; soil	ggdist	stat_dots; stat_dotsinterval	recent-domain-use	dots represent probability mass not observations	R-GGDIST
half-eye-plot	half-eye plot	半眼图	eye plot; slabinterval	distribution	posterior; bootstrap; uncertainty	model-based	general; soil	ggdist	stat_halfeye	canonical	name interval type and density source	R-GGDIST
spike-plot	spike plot	尖峰图	needle density; spike histogram	distribution	distribution; posterior	independent; model-based	general	ggdist; ggplot2	stat_spike; geom_segment	niche	spike width/weight meaning	R-GGDIST
hdr-boxplot	highest-density-region boxplot	最高密度区箱图	HDR boxplot	distribution	functional or skew distribution	independent	general	hdrcde	hdr.boxplot	niche	define coverage and multimodality	R-CTVS
bagplot	bagplot	袋形图	bivariate boxplot	distribution	bivariate distribution; outliers	independent	general	aplpack	bagplot	niche	depth algorithm and outlier fence	R-CTVS
violin-box-points	violin-box-point composite	小提琴-箱线-点组合图	distribution composite	distribution	distribution; comparison	independent	general; soil	ggplot2; ggbeeswarm	geom_violin plus boxplot plus points	composite	too many redundant layers at small size	P-REVEAL-2019
pirate-plot	pirate plot	海盗图	raw data plus density plus interval	distribution	distribution; comparison	independent	general	yarrr	pirateplot	composite	define every summary layer; can be visually dense	R-CTVS
bar-count	count bar chart	计数条形图	bar chart	comparison	counts; frequency	independent	general	ggplot2	geom_bar	canonical	categories need explicit order; zero baseline	R-GGPLOT
bar-value	value bar chart	数值条形图	column chart	comparison	amount comparison	independent	general; soil	ggplot2	geom_col	canonical	poor default for continuous outcomes; zero baseline	P-REVEAL-2019
grouped-bar	grouped bar chart	分组条形图	clustered bar	comparison	group comparison	factorial	general	ggplot2	geom_col position_dodge	canonical	many groups overload; preserve common baseline	R-GGPLOT
stacked-bar	stacked bar chart	堆叠条形图	component bar	composition	part-to-whole	independent	general; soil	ggplot2	geom_col position_stack	canonical	middle segments lack common baseline	R-GGPLOT
percent-stacked-bar	100 percent stacked bar	百分比堆叠条形图	relative abundance bar	composition	composition	independent; compositional	soil; microbiome	ggplot2	geom_col position_fill	canonical	cannot show absolute totals; closure	R-CTV-COMP
diverging-stacked-bar	diverging stacked bar	发散堆叠条形图	Likert chart	comparison	ordinal response composition	independent	general	ggplot2; likert	geom_col custom	canonical	center category and balance must be explicit	R-GGPLOT
cleveland-dotplot	Cleveland dot plot	克利夫兰点图	dot chart	comparison	ranking; amount comparison	independent	general; soil	ggplot2	geom_point plus geom_segment	canonical	order categories; common scale	R-GGPLOT
lollipop-chart	lollipop chart	棒棒糖图	stem dot chart	comparison	ranking	independent	general	ggplot2	geom_segment plus geom_point	canonical	decorative stems can add clutter	R-GGPLOT
dumbbell-plot	dumbbell plot	哑铃图	connected dot plot	comparison	before-after; two-condition gap	paired; grouped	general; soil	ggplot2	geom_segment plus geom_point	canonical	match pairs/groups and direct label endpoints	R-GGPLOT
slopegraph	slopegraph	坡度图	slope chart	comparison	change between few times	paired; repeated	general; soil	ggplot2	geom_line plus geom_point	canonical	many crossing lines; same scale required	R-GGPLOT
bump-chart	bump chart	排名变化图	rank chart	comparison	rank over time	repeated	general	ggplot2; ggbump	geom_bump	canonical	ranks hide magnitude and ties	R-GGPLOT
bullet-chart	bullet chart	子弹图	performance bullet	comparison	value vs target	independent	general	ggplot2 custom	geom_col plus segments	canonical	ranges and target must be scientifically defined	R-GGPLOT
waterfall-chart	waterfall chart	瀑布图	bridge chart	comparison	sequential contribution	ordered components	general; biogeochemistry	waterfalls; ggplot2	geom_col custom	canonical	ordering and subtotal logic; mass balance	R-GGPLOT
pareto-chart	Pareto chart	帕累托图	ranked bars plus cumulative	comparison	ranked contribution	independent	general	ggplot2	bars plus cumulative line	canonical	dual axis often avoidable; cumulative scale explicit	R-GGPLOT
paired-dotplot	paired dot plot	配对点图	before-after dot plot	comparison	paired change	paired	general; soil	ggplot2	geom_line plus geom_point	canonical	keep IDs and avoid crossing ambiguity	P-ESTIMATION
spaghetti-plot	spaghetti plot	意大利面条图	individual trajectory plot	temporal	individual change	repeated	general; soil	ggplot2	geom_line group id	canonical	large n needs alpha/sampling/faceting	R-GGPLOT
superplot	SuperPlot	超级图	nested dot plot	comparison	reproducibility; nested variability	nested; repeated experiments	soil-biology; general	ggplot2 custom	points plus experiment summaries	composite	independent replicate level must be correct	P-SUPERPLOT
small-multiples	small multiples	小倍图	trellis; facets	comparison	many comparable groups	any	general; soil	ggplot2; lattice	facet_wrap; facet_grid	canonical	shared scales and ordering; panel proliferation	R-GGPLOT
forest-plot	forest plot	森林图	interval plot	effect-uncertainty	effect sizes; meta-analysis	model-based; studies	general; soil	metafor; ggplot2	forest; geom_pointrange	domain-standard	model, reference and interval types	P-META-TAXONOMY
caterpillar-plot	caterpillar plot	毛毛虫图	random effects interval plot	effect-uncertainty	many estimates; random effects	hierarchical model	general; soil	ggplot2; broom.mixed	geom_pointrange	canonical	shrinkage estimates and ordering; not raw ranks	R-CTVS
interval-dotplot	interval dot plot	点区间图	coefficient plot	effect-uncertainty	estimates and intervals	model-based	general; soil	ggplot2	geom_pointrange; geom_errorbarh	canonical	name scale and interval	P-ESTIMATION
gardner-altman	Gardner-Altman estimation plot	Gardner–Altman 估计图	mean-difference estimation	effect-uncertainty	two-group effect	independent; paired	general; soil	dabestr; ggplot2	custom	domain-standard	align raw data and effect axis; bootstrap definition	P-ESTIMATION
cumming-estimation	Cumming estimation plot	Cumming 估计图	multi-group estimation plot	effect-uncertainty	multi-group contrasts	independent; paired	general; soil	dabestr; ggplot2	custom	domain-standard	reference and contrast family	P-ESTIMATION
bootstrap-distribution	bootstrap estimate distribution	自助法估计分布图	bootstrap density	effect-uncertainty	resampling uncertainty	model-based	general; soil	ggdist; ggplot2	stat_halfeye; density	canonical	resampling unit must match design	P-ESTIMATION
hypothetical-outcome-plot	hypothetical outcome plot	假想结果图	HOP; animated outcomes	effect-uncertainty	uncertainty communication	model-based	general	gganimate; custom	transition states	niche	animation needs static alternative and defined draws	R-CTV-DYNAMICVISUALIZATIONS
fan-chart	fan chart	扇形预测图	forecast fan	effect-uncertainty	forecast/posterior intervals	temporal model	general; climate	fanplot; ggplot2	ribbons	canonical	interval nesting and horizon	R-CTVS
funnel-plot	funnel plot	漏斗图	meta-analysis funnel	effect-uncertainty	publication bias; small-study effects	studies	general; soil	metafor	funnel	domain-standard	asymmetry is not proof of publication bias	P-META-TAXONOMY
contour-enhanced-funnel	contour-enhanced funnel plot	等高增强漏斗图	funnel contours	effect-uncertainty	meta bias diagnostics	studies	general	metafor	funnel plus contours	domain-standard	significance contours and model assumptions	P-META-TAXONOMY
