id	name_en	name_zh	primary_family	schema_id	renderer	coverage_tier	required_packages	source_keys
strip-plot	strip plot	条带点图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT;P-REVEAL-2019
beeswarm-plot	beeswarm plot	蜂群点图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019
quasirandom-plot	quasirandom dot plot	准随机点图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019
sina-plot	Sina plot	西纳图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
dotplot-stacked	stacked dot plot	堆叠点图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
histogram	histogram	直方图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
frequency-polygon	frequency polygon	频数多边形图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
density-plot	kernel density plot	核密度图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
ecdf-plot	empirical cumulative distribution	经验累积分布图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
ccdf-plot	complementary CDF	互补累积分布图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
boxplot	box plot	箱线图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019
notched-boxplot	notched box plot	凹口箱线图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
variable-width-boxplot	variable-width box plot	变宽箱线图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
letter-value-plot	letter-value plot	字母值图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
violin-plot	violin plot	小提琴图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-REVEAL-2019;R-GGPLOT-NEWS
half-violin	half violin plot	半小提琴图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-RAINCLOUD
beanplot	bean plot	豆荚图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
raincloud-plot	raincloud plot	雨云图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	P-RAINCLOUD
ridgeline-plot	ridgeline density plot	山脊密度图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
rainfall-plot-genomics	rainfall plot	基因组雨落图	distribution	omics	genomic-rainfall	named-variant-validated	ggplot2;jsonlite;ragg	P-GENOMIC-TAXONOMY
rug-plot	rug plot	边际地毯图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
qq-plot	quantile-quantile plot	Q-Q 图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGPLOT
pp-plot	probability-probability plot	P-P 图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-CTVS
quantile-dotplot	quantile dotplot	分位点阵图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGDIST
half-eye-plot	half-eye plot	半眼图	distribution	categorical	distribution	named-variant-validated	ggplot2;jsonlite;ragg	R-GGDIST
