source_id,title,authors,journal,publication_date,doi,url,source_role,locator,accessed_at,verification_state,reuse_scope,notes
DR-SRC-001,江苏南部稻麦轮作区土壤健康微生物指标筛选,"莫迎平，耿天治，王子婧，张娜，崔庆豪，刘翠英，樊建凌",土壤学报,2025-12-15,10.11766/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于指标筛选方法和评价结果的具体表达校准
DR-SRC-002,蒙东黑土区有效土层厚度空间制图及其地表基质制约机理研究,"李欣烨，石璞，刘航，杨永",土壤学报,2025-12-29,10.11766/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于研究区模型指标和空间格局的具体表达校准
DR-SRC-003,三种土壤改良剂对风沙土抗剪强度的影响,"喜银巧，赵英，李生宇",土壤学报,2018-08-27,10.11766/trxb201802120564,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于处理条件测定方法和未达显著水平的表达校准
DR-SRC-004,城市绿地土壤细菌和真菌群落结构对有机物料的响应,"牛玉慧，王庆峰，马想，何小丽，梁晶",土壤学报,2025-09-05,10.11766/trxb202412230502,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412230502,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于处理效应数值和群落响应的具体表达校准
DR-SRC-005,中国土壤恢复力评价,"吴克宁，陈星宇，陈安琪，冯喆",土壤学报,2026-03-06,10.11766/trxb202507010320,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于评价体系指标权重和空间分布的表达校准
DR-SRC-006,中低产田评价指标与主要方法研究进展,"白雪源，张杰，崔振岭，王广进，吕玉娇，张福锁",土壤学报,2022-10-09,10.11766/trxb202204070045,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202060045,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于评价指标多尺度评价和多源数据融合的技术语境校准
DR-SRC-007,农田土壤-作物系统中微塑料界面转化过程与食物链传递风险,"骆永明，涂晨，潘彦硕，杨杰，郝征，刘颖",土壤学报,2025-11-12,10.11766/trxb202508190404,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202508190404,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于迁移路径和界面转化等有对象科学过程的语境校准
DR-SRC-008,基于输入-输出平衡的施磷方法可实现作物高产和磷肥高效——以新疆水肥一体化棉花体系为例,"彭懿，杨国江，国秀丽，王晓凤，Ran Erel，冯固",土壤学报,2022-08-23,10.11766/trxb202202030044,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202030044,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于水肥一体化农业技术语境校准
DR-SRC-009,玉米幼苗能吸收和积累纤维微塑料,"刘璐，李连祯，陈浙宽，弭懿，苏时康，刘思志，王颜昊，刘少冲，于雅琪，佘希林",土壤学报,2025-05-09,10.11766/trxb202412200497,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412200497,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于共聚焦显微镜等仪器技术语境校准
DR-SRC-010,改性纳米零价铁环境修复应用：基于文献计量学的深层剖析,"徐坷坷，许琳玥，唐伟，晏井春，谭丽超，张明珠，云晶晶，葛峰",土壤学报,2025-05-19,10.11766/trxb202407220293,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202407220293,preferred_expression_evidence,中文摘要及页面元数据,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,用于生命周期评价术语语境校准
DR-SRC-011,基于CiteSpace的国内外宅基地复垦研究现状和发展动态,"曹银，周贤，王建",土壤学报,2026-01-04,10.11766/trxb202504020154,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202504020154,negative_occurrence_context,中文摘要及页面元数据中的实践闭环和全链条,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,仅证明高质量期刊中存在该用例不构成迁移许可
DR-SRC-012,中国土壤污染防治技术体系建设思考,"陈卫平，谢天，李笑诺，王若丹",土壤学报,2018-03-01,10.11766/trxb201711300488,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201710250488,contextual_occurrence_evidence,中文摘要及页面元数据中的顶层设计,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,仅支持政策技术体系语境的判定不构成方法正文迁移许可
DR-SRC-013,植物-土壤反馈驱动的土壤健康机制与调控策略,"王光州，申建波，张俊伶，张福锁",土壤学报,2025-11-12,10.11766/trxb202506290314,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506290314,contextual_occurrence_evidence,中文摘要及页面元数据中的新范式,2026-08-16,official_page_metadata_and_abstract_verified,abstract_for_register_analysis_no_patchwriting,仅支持综述或论证中的语境判定不构成无证据新颖性表述许可
