journal_name,registry_groups,soil_topic_scope,language_or_region,publisher,official_author_url,source_status,source_accessed_at,notes
北京林业大学学报,General and interdisciplinary discovery,森林土壤、生态修复和水土保持,中文/中英摘要,北京林业大学,http://j.bjfu.edu.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
草地学报,Chinese soil and adjacent discovery,草地土壤/生态,中文/中英摘要,中国草学会,https://manu40.magtech.com.cn/Jweb_cdxb/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
草业科学,Chinese soil and adjacent discovery,草地土壤/资源管理,中文/中英摘要,中国草学会、兰州大学,http://cykx.lzu.edu.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
草业学报,Chinese soil and adjacent discovery,草地土壤/草地生态,中文/中英摘要,中国草学会、兰州大学,http://cyxb.magtech.com.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
沉积学报,General and interdisciplinary discovery,古土壤、沉积物—土壤界面和环境演化,中文/中英摘要,中国科学院地质与地球物理研究所等,http://www.cjxb.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地理科学,General and interdisciplinary discovery,土壤地理、土地利用与生态环境空间过程,中文/中英摘要,中国科学院东北地理与农业生态研究所、中国地理学会,http://geoscien.neigae.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地理科学进展,Chinese soil and adjacent discovery,土地系统/土壤空间过程,中文/中英摘要,中国科学院地理科学与资源研究所、中国地理学会,https://www.progressingeography.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地理学报,Chinese soil and adjacent discovery,土壤地理/土地系统,中文/中英摘要,中国地理学会、中国科学院地理科学与资源研究所,https://www.geog.com.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地球化学,General and interdisciplinary discovery,土壤元素循环、同位素、风化和污染地球化学,中文/中英摘要,中国科学院广州地球化学研究所、中国矿物岩石地球化学学会,http://www.gyig.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地球科学进展,General and interdisciplinary discovery,土壤关键带、风化、地球系统与前沿综述,中文/中英摘要,中国科学院资源环境科学信息中心、国家自然科学基金委员会,http://www.adearth.ac.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地球信息科学学报,Chinese soil and adjacent discovery,数字土壤制图/空间信息,中文/中英摘要,中国科学院地理科学与资源研究所、中国地理学会,https://www.dqxxkx.cn/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
地质学报,General and interdisciplinary discovery,古土壤、关键带、风化壳与地质环境,中文/中英摘要,中国地质学会,https://www.geojournals.cn/dzxb/ch/first_menu.aspx?parent_id=2008061202354001,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
第四纪研究,General and interdisciplinary discovery,古土壤、环境演变、年代学与气候记录,中文/中英摘要,中国科学院地质与地球物理研究所、中国第四纪研究委员会,http://www.dsjyj.com.cn/,official entry recorded,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
东北农业大学学报,Chinese soil and adjacent discovery,寒地土壤/农业资源,中文/中英摘要,东北农业大学,http://dbnydxxb.cnjournals.com/,官网投稿须知,2026-08-15,Discovery only; verify the current official guide before use. No journal-quality judgment.
