journal_name,group_name,soil_relevance,publisher,language_or_region,soil_topic_scope,official_author_url,official_source_status,source_accessed_at,cscd_2025_2026,scopus_2026_07,scopus_coverage,scopus_source_id,evidence_grade,caution,evidence_sources,evidence_accessed_at
北京林业大学学报,中文综合与交叉期刊,综合交叉,北京林业大学,中文/中英摘要,森林土壤、生态修复和水土保持,http://j.bjfu.edu.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
草地学报,中文土壤学及相关专业期刊,土壤及邻近,中国草学会,中文/中英摘要,草地土壤/生态,https://manu40.magtech.com.cn/Jweb_cdxb/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
草业科学,中文土壤学及相关专业期刊,土壤及邻近,中国草学会、兰州大学,中文/中英摘要,草地土壤/资源管理,http://cykx.lzu.edu.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
草业学报,中文土壤学及相关专业期刊,土壤及邻近,中国草学会、兰州大学,中文/中英摘要,草地土壤/草地生态,http://cyxb.magtech.com.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
沉积学报,中文综合与交叉期刊,综合交叉,中国科学院地质与地球物理研究所等,中文/中英摘要,古土壤、沉积物—土壤界面和环境演化,http://www.cjxb.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地理科学,中文综合与交叉期刊,综合交叉,中国科学院东北地理与农业生态研究所、中国地理学会,中文/中英摘要,土壤地理、土地利用与生态环境空间过程,http://geoscien.neigae.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地理科学进展,中文土壤学及相关专业期刊,土壤及邻近,中国科学院地理科学与资源研究所、中国地理学会,中文/中英摘要,土地系统/土壤空间过程,https://www.progressingeography.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地理学报,中文土壤学及相关专业期刊,土壤及邻近,中国地理学会、中国科学院地理科学与资源研究所,中文/中英摘要,土壤地理/土地系统,https://www.geog.com.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地球化学,中文综合与交叉期刊,综合交叉,中国科学院广州地球化学研究所、中国矿物岩石地球化学学会,中文/中英摘要,土壤元素循环、同位素、风化和污染地球化学,http://www.gyig.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地球科学进展,中文综合与交叉期刊,综合交叉,中国科学院资源环境科学信息中心、国家自然科学基金委员会,中文/中英摘要,土壤关键带、风化、地球系统与前沿综述,http://www.adearth.ac.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地球信息科学学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院地理科学与资源研究所、中国地理学会,中文/中英摘要,数字土壤制图/空间信息,https://www.dqxxkx.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
地质学报,中文综合与交叉期刊,综合交叉,中国地质学会,中文/中英摘要,古土壤、关键带、风化壳与地质环境,https://www.geojournals.cn/dzxb/ch/first_menu.aspx?parent_id=2008061202354001,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
第四纪研究,中文综合与交叉期刊,综合交叉,中国科学院地质与地球物理研究所、中国第四纪研究委员会,中文/中英摘要,古土壤、环境演变、年代学与气候记录,http://www.dsjyj.com.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
东北农业大学学报,中文土壤学及相关专业期刊,土壤及邻近,东北农业大学,中文/中英摘要,寒地土壤/农业资源,http://dbnydxxb.cnjournals.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
干旱区研究,中文土壤学及相关专业期刊,土壤及邻近,中国科学院新疆生态与地理研究所,中文/中英摘要,干旱土壤/生态水文,http://azr.xjegi.com/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
干旱区资源与环境,中文土壤学及相关专业期刊,土壤及邻近,中国自然资源学会干旱半干旱地区研究委员会、内蒙古农业大学,中文/中英摘要,土地退化/资源环境,http://ghzh.cbpt.cnki.net/,CNKI 期刊门户内投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
华北农学报,中文土壤学及相关专业期刊,土壤及邻近,北京、天津、河北等农科院联合主办,中文/中英摘要,农田土壤/养分/作物,http://www.hbnxb.net/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
华中农业大学学报,中文土壤学及相关专业期刊,土壤及邻近,华中农业大学,中文/中英摘要,土壤肥料/资源环境,http://hnxbl.cnjournals.net/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境工程学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院生态环境研究中心,中文/中英摘要,土壤修复/固废资源化,https://www.cjee.ac.cn/,官网投稿须知,2026-08-15,E,,,,CSCD 扩展,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境化学,中文综合与交叉期刊,综合交叉,中国科学院生态环境研究中心,中文/中英摘要,土壤污染物形态、界面反应、分析与风险,https://www.sciengine.com/EC/home,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境科学,中文土壤学及相关专业期刊,土壤及邻近,中国科学院生态环境研究中心,中文/中英摘要,土壤污染/环境化学,https://www.hjkx.ac.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境科学学报,中文土壤学及相关专业期刊,土壤及邻近,中国科学院生态环境研究中心,中文/中英摘要,土壤污染/环境过程,https://www.sciengine.com/SE/Journal/hjkxxb,官网投稿指南,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境科学研究,中文综合与交叉期刊,综合交叉,中国环境科学研究院,中文/中英摘要,土壤污染、风险评估、修复与环境管理,https://www.hjkxyj.org.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
环境科学与技术,中文综合与交叉期刊,综合交叉,湖北省生态环境科学研究院,中文/中英摘要,土壤污染、修复材料、环境风险与工程应用,http://www.fjks.com.cn/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
节水灌溉,中文土壤学及相关专业期刊,土壤及邻近,武汉大学、中国国家灌溉排水委员会,中文/中英摘要,土壤水分/灌溉,http://www.jsgg.com.cn/,官网投稿须知,2026-08-15,,,,,期刊资料,CSCD 2025–2026 来源期刊表中未检索到该刊。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
科学通报,中文综合与交叉期刊,综合交叉,中国科学院、国家自然科学基金委员会,中文/英文,具有较广科学意义的土壤、生态、农业和地球系统研究,https://www.sciengine.com/CSB/home,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
矿物岩石地球化学通报,中文土壤学及相关专业期刊,土壤及邻近,中国矿物岩石地球化学学会、中国科学院地球化学研究所,中文/中英摘要,土壤地球化学/矿物过程,http://www.bulletin.cas.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
林业科学,中文综合与交叉期刊,综合交叉,中国林学会,中文/中英摘要,森林土壤、根际、凋落物和生态恢复,http://www.linyekexue.net/,official entry recorded,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
南京农业大学学报,中文土壤学及相关专业期刊,土壤及邻近,南京农业大学,中文/中英摘要,土壤农业化学/植物营养,https://nauxb.njau.edu.cn/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
农业工程学报,中文土壤学及相关专业期刊,土壤及邻近,中国农业工程学会,中文/中英摘要,耕作/土壤水肥/遥感,http://www.tcsae.org/,官网投稿须知,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
农业环境科学学报,中文土壤学及相关专业期刊,土壤及邻近,农业农村部环境保护科研监测所、中国农业生态环境保护协会,中文/中英摘要,土壤环境/污染修复,https://www.aes.org.cn/nyhjkxxb/,本地包已有征稿简则 PDF,2026-08-15,C,,,,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
